"sequence_number","delta","gyro_x","gyro_y","gyro_z","accel_x","accel_y","accel_z","control_x","control_speed"
"62","0.087531","-0.00262451","0.000976562","-0.00775146","0.0140381","-0.0335693","-0.949219","0.998047","1"
"63","0.098453","-0.00427246","0.00256348","-0.0247192","0.0836792","0.00262451","-0.930359","0.998047","1"
"64","0.074971","-0.00268555","0.00732422","-0.0422363","0.0679932","-0.0239868","-0.961121","0.998047","1"
"65","0.081547","-0.000427246","0.00726318","-0.0586548","0.0957642","0.0685425","-0.976929","0.998047","1"
"66","0.092521","-0.000610352","0.00842285","-0.0745239","0.130981","0.0588379","-0.949463","0.998047","1"
"67","0.082515","0","0.00939941","-0.0907593","0.102539","0.0635986","-0.960144","0.998047","1"
"68","0.073704","0.00183105","0.00646973","-0.0953369","0.0216675","0.0456543","-1.0011","0.998047","1"
"69","0.102557","0.000305176","0.00598145","-0.0968018","0.0332031","0.0444336","-1.04529","0.998047","1"
"70","0.122263","0.000793457","0.00500488","-0.0981445","0.00811768","0.0429688","-1.05383","0.996094","1"
"71","0.072736","0.00164795","0.00396729","-0.102539","-0.0100708","0.0873413","-1.07709","0.958984","1"
"72","0.108785","0.00299072","0.00268555","-0.100159","-0.0390015","0.038208","-1.06799","0","1"
"73","0.072512","0.00170898","0.00372314","-0.0782471","-0.0587158","0.0719604","-1.01514","0","1"
"74","0.073824","0.00189209","0.00421143","-0.057312","-0.0963745","0.110596","-1.01202","0","1"
"75","0.083845","0.00140381","0.00140381","-0.036499","-0.0490723","0.0383911","-0.963257","0","1"
"76","0.075958","0.00280762","-0.000671387","-0.0143433","-0.0487671","0.0397339","-0.956848","0","1"
"77","0.106036","0.00408936","0.00146484","0.00366211","0.027832","-0.0280151","-0.954285","0","1"
"78","0.079024","0.00592041","0.000915527","0.00549316","0.0754395","-0.0551758","-0.977356","0.335938","1"
"79","0.077523","0.00793457","-0.000732422","0.000488281","0.09729","-0.0459595","-0.983704","0.964844","1"
"80","0.081261","0.00561523","0.00134277","-0.0151978","0.117188","-0.0457764","-1.03107","0.957031","1"
"81","0.085203","0.00427246","0.00219727","-0.0313721","0.10968","-0.0836182","-0.988831","0.957031","1"
"82","0.09703","0.00152588","0.00231934","-0.0465698","0.0635376","0.0110474","-0.989929","0.957031","1"
